,True Rating,Predicted Rating,True Genre,Predicted Genre
7,4.31,4.365,Non-Fiction,Fiction
12,4.11,4.504,Fiction,Fiction
16,4.5,4.142999999999999,Fiction,Fiction
18,4.49,4.226999999999999,Fiction,Fiction
22,4.38,4.401,Fiction,Fiction
31,4.67,4.4959999999999996,Fiction,Fiction
32,4.19,4.281999999999999,Fiction,Fiction
33,4.62,4.388,Non-Fiction,Fiction
45,4.12,4.3870000000000005,Fiction,Fiction
48,4.28,3.836,Fiction,Fiction
51,4.21,3.8319999999999994,Fiction,Fiction
54,4.95,4.759,Fiction,Fiction
61,4.61,4.416,Fiction,Fiction
64,4.48,4.5,Fiction,Fiction
66,4.32,3.8650000000000007,Fiction,Fiction
69,4.38,4.681,Fiction,Fiction
74,4.53,4.414999999999999,Fiction,Fiction
88,4.76,4.364,Fiction,Fiction
94,4.16,4.136,Fiction,Fiction
119,4.23,4.211,Fiction,Non-Fiction
121,4.58,4.292999999999999,Fiction,Fiction
122,4.49,4.502000000000001,Fiction,Fiction
129,4.77,4.354,Non-Fiction,Fiction
130,4.77,4.591,Fiction,Fiction
134,4.79,4.364,Fiction,Fiction
142,4.28,4.361,Fiction,Fiction
148,4.31,4.186999999999999,Fiction,Fiction
150,4.17,4.329,Fiction,Fiction
153,4.11,4.255999999999999,Non-Fiction,Fiction
154,4.35,4.666000000000001,Fiction,Non-Fiction
156,0.0,0.0,Fiction,Fiction
162,4.24,4.4239999999999995,Fiction,Fiction
166,4.11,4.414,Fiction,Fiction
169,4.94,4.514,Fiction,Fiction
181,4.51,4.3660000000000005,Non-Fiction,Fiction
183,4.5,4.262,Fiction,Fiction
203,4.64,4.699,Fiction,Fiction
208,0.0,0.0,Fiction,Fiction
214,4.87,4.486,Fiction,Fiction
216,4.51,4.529999999999999,Fiction,Fiction
218,4.08,4.3790000000000004,Fiction,Fiction
219,5.0,4.817,Fiction,Fiction
220,4.27,4.365,Fiction,Fiction
221,4.39,4.307,Fiction,Fiction
230,3.69,4.183,Fiction,Fiction
231,4.36,4.536,Fiction,Fiction
242,4.59,4.2090000000000005,Non-Fiction,Fiction
249,4.83,4.12,Non-Fiction,Fiction
250,4.12,4.069,Fiction,Fiction
254,4.5,4.669000000000001,Fiction,Fiction
257,4.24,4.15,Fiction,Fiction
260,4.18,4.52,Non-Fiction,Fiction
275,2.89,4.4719999999999995,Fiction,Fiction
276,3.49,4.441,Fiction,Fiction
278,4.17,4.425999999999999,Fiction,Fiction
292,4.33,4.457000000000001,Fiction,Fiction
295,4.78,4.345,Fiction,Fiction
308,4.13,4.205,Fiction,Fiction
319,3.96,4.077999999999999,Fiction,Fiction
321,4.3,4.430000000000001,Fiction,Fiction
322,4.26,4.409,Fiction,Fiction
323,4.64,4.441000000000001,Fiction,Fiction
325,4.96,4.569000000000001,Fiction,Fiction
333,4.4,4.289,Fiction,Fiction
337,4.69,4.723000000000001,Fiction,Fiction
342,4.58,4.367,Fiction,Fiction
344,4.2,4.263,Fiction,Fiction
350,3.59,4.381,Non-Fiction,Fiction
368,4.2,4.5520000000000005,Fiction,Fiction
371,4.72,4.523000000000001,Non-Fiction,Fiction
373,4.59,4.337999999999999,Fiction,Fiction
383,4.05,4.761000000000001,Fiction,Fiction
387,5.0,4.488999999999999,Non-Fiction,Fiction
389,4.16,4.735000000000001,Fiction,Fiction
392,4.52,4.415,Fiction,Fiction
395,4.53,4.405,Fiction,Fiction
396,4.2,4.5280000000000005,Fiction,Fiction
399,4.75,4.492999999999999,Fiction,Fiction
404,4.59,4.272,Fiction,Fiction
409,3.82,4.466000000000001,Fiction,Fiction
412,4.77,4.557,Fiction,Fiction
415,4.29,4.308000000000001,Fiction,Fiction
429,4.43,4.452,Fiction,Fiction
434,4.29,4.313,Fiction,Fiction
438,3.73,4.2490000000000006,Fiction,Fiction
441,3.98,4.552,Non-Fiction,Fiction
442,4.59,4.303999999999999,Fiction,Non-Fiction
446,4.15,4.2170000000000005,Fiction,Non-Fiction
451,4.36,4.1930000000000005,Fiction,Fiction
452,4.74,4.395999999999999,Fiction,Fiction
455,4.52,4.39,Non-Fiction,Fiction
457,4.42,4.401999999999999,Fiction,Fiction
462,4.51,4.086,Fiction,Fiction
464,3.16,4.058,Fiction,Fiction
470,4.75,4.2540000000000004,Fiction,Fiction
473,4.54,4.664999999999999,Fiction,Fiction
480,4.14,4.148999999999999,Fiction,Fiction
484,4.59,4.397,Fiction,Fiction
491,1.83,4.215000000000001,Fiction,Fiction
501,4.07,3.9829999999999997,Fiction,Fiction
502,4.58,4.384,Fiction,Fiction
506,3.58,4.127999999999999,Fiction,Fiction
508,0.0,0.0,Fiction,Fiction
510,3.58,3.871,Fiction,Fiction
519,4.55,4.337,Fiction,Fiction
520,4.44,4.5230000000000015,Fiction,Fiction
522,4.36,4.731999999999999,Fiction,Fiction
524,4.2,4.143,Non-Fiction,Fiction
539,1.9,3.7630000000000003,Fiction,Fiction
